gvkey,gvkeyx,from,thru,conm,tic,co_tic,co_cusip
010540,000003,19741231,20040802,S&P 500 Comp-Ltd,I0003,TNB,884315102
006821,000003,19741231,20061109,S&P 500 Comp-Ltd,I0003,LPX,546347105
008488,000003,19741231,20081123,S&P 500 Comp-Ltd,I0003,ABI.3,038149100
011506,000003,19750331,,S&P 500 Comp-Ltd,I0003,WMB,969457100
002122,000003,19750331,19850930,S&P 500 Comp-Ltd,I0003,BKI910,077266104
010608,000003,19750331,19910430,S&P 500 Comp-Ltd,I0003,TKA.,890278104
004719,000003,19750331,19951022,S&P 500 Comp-Ltd,I0003,CEM.2,16361A106
006096,000003,19750331,20001017,S&P 500 Comp-Ltd,I0003,MKG,561232109
002044,000003,19750630,20180102,S&P 500 Comp-Ltd,I0003,BCR,067383109
008407,000003,19750930,19850930,S&P 500 Comp-Ltd,I0003,PBD.1,704562107
002439,000003,19750930,19990801,S&P 500 Comp-Ltd,I0003,BFI.,115885105
004207,000003,19751231,19860430,S&P 500 Comp-Ltd,I0003,ECK.1,278763107
013961,000003,19751231,19861130,S&P 500 Comp-Ltd,I0003,RXR.1,761339100
011284,000003,19751231,19890731,S&P 500 Comp-Ltd,I0003,WCI.1,934436106
003955,000003,19751231,19980611,S&P 500 Comp-Ltd,I0003,DEC.1,253849103
009155,000003,19751231,20000726,S&P 500 Comp-Ltd,I0003,RAD,767754872
006475,000003,19751231,20060627,S&P 500 Comp-Ltd,I0003,KRI,499040103
004988,000003,19751231,20170601,S&P 500 Comp-Ltd,I0003,TGNA,87901J105
006078,000003,19760331,,S&P 500 Comp-Ltd,I0003,IFF,459506101
006834,000003,19760331,19880531,S&P 500 Comp-Ltd,I0003,LKS,549577104
007672,000003,19760331,19890630,S&P 500 Comp-Ltd,I0003,NWA,667280101
002255,000003,19760331,20100314,S&P 500 Comp-Ltd,I0003,BDK,091797100
001447,000003,19760630,,S&P 500 Comp-Ltd,I0003,AXP,025816109
002547,000003,19760630,,S&P 500 Comp-Ltd,I0003,CI,125523100
002968,000003,19760630,,S&P 500 Comp-Ltd,I0003,JPM,46625H100
003505,000003,19760630,,S&P 500 Comp-Ltd,I0003,TAP,60871R209
003980,000003,19760630,,S&P 500 Comp-Ltd,I0003,DIS,254687106
004093,000003,19760630,,S&P 500 Comp-Ltd,I0003,DUK,26441C204
004517,000003,19760630,,S&P 500 Comp-Ltd,I0003,NEE,65339F101
006742,000003,19760630,,S&P 500 Comp-Ltd,I0003,LNC,534187109
007647,000003,19760630,,S&P 500 Comp-Ltd,I0003,BAC,060505104
008007,000003,19760630,,S&P 500 Comp-Ltd,I0003,WFC,949746101
